Frame,Emotion,Confidence (%)
0,neutral,93.783516
2,neutral,92.241165
4,neutral,85.51476
6,neutral,85.33379
8,neutral,85.99864
10,neutral,85.969215
12,neutral,85.79832
14,neutral,85.80643
16,neutral,85.81278
18,neutral,85.803696
20,neutral,85.803696
22,neutral,85.799576
24,neutral,85.80783
26,neutral,85.80783
28,neutral,85.80602
30,neutral,85.80602
32,neutral,85.80602
34,neutral,85.80602
36,neutral,85.80602
38,neutral,85.80602
40,neutral,85.80602
42,neutral,85.80496
44,neutral,85.80645
46,neutral,85.813866
48,neutral,85.813866
50,neutral,85.813866
52,neutral,85.813866
54,neutral,85.813866
56,neutral,85.813866
58,neutral,85.813866
60,neutral,85.813866
62,neutral,85.813866
64,neutral,85.813866
66,neutral,85.813866
68,neutral,85.813866
70,neutral,97.29129
72,neutral,97.91404
74,neutral,98.95286
76,neutral,97.63195
78,neutral,91.53681
80,neutral,99.32445
82,neutral,99.00161
84,neutral,99.32445
86,neutral,99.00161
88,neutral,99.32445
90,neutral,99.00161
92,neutral,99.32445
94,neutral,99.00161
96,neutral,99.32445
98,neutral,99.00161
100,neutral,99.32445
102,neutral,99.00161
104,neutral,99.32445
106,neutral,99.00161
108,neutral,99.32445
110,neutral,99.00161
112,neutral,92.724724
114,neutral,91.56915
116,neutral,92.724724
118,neutral,91.56915
120,neutral,92.724724
122,neutral,91.56915
124,neutral,92.724724
126,neutral,99.00161
128,neutral,99.32445
130,neutral,97.533165
132,neutral,99.70514
134,neutral,99.58614
136,neutral,99.38931
138,neutral,99.35889
140,neutral,99.7374
142,neutral,99.35834
144,neutral,99.35885
146,neutral,99.35826
148,neutral,99.35885
150,neutral,99.35835
152,neutral,99.35885
154,neutral,99.35835
156,neutral,99.35885
158,neutral,99.35835
160,neutral,99.35885
162,neutral,99.35835
164,neutral,99.35885
166,neutral,99.35835
168,neutral,99.35885
170,neutral,99.35835
172,neutral,99.35885
174,neutral,99.358376
176,neutral,99.35886
178,neutral,99.358345
180,neutral,99.358864
182,neutral,99.46788
184,neutral,99.93345
186,neutral,99.96021
188,neutral,99.23062
190,neutral,99.20351
192,neutral,99.23279
194,neutral,99.232704
196,neutral,99.23277
198,neutral,99.2327
200,neutral,99.23277
202,neutral,99.2327
204,neutral,99.23277
206,neutral,99.2327
208,neutral,99.23277
210,neutral,99.88424
212,neutral,99.8782
214,neutral,99.876595
216,neutral,99.90837
218,neutral,99.908424
220,neutral,96.45792
222,neutral,96.465744
224,neutral,96.46663
226,neutral,99.04443
228,neutral,99.972694
230,neutral,99.94672
232,neutral,99.93534
234,neutral,99.84714
236,neutral,99.93533
238,neutral,99.848076
240,neutral,99.93533
242,neutral,99.78652
244,neutral,96.769005
246,neutral,97.53023
248,neutral,93.051094
250,neutral,99.61495
252,neutral,99.76692
254,neutral,99.14801
256,neutral,99.054115
258,neutral,99.50663
260,neutral,99.50664
262,neutral,99.50654
264,neutral,99.50654
266,neutral,99.49869
268,neutral,99.49869
270,neutral,99.49869
272,neutral,99.49869
274,neutral,99.49869
276,neutral,99.49869
278,neutral,99.49869
280,neutral,99.49869
282,neutral,99.49869
284,neutral,99.49869
286,neutral,99.49869
288,neutral,99.49869
290,neutral,99.49869
292,neutral,99.49869
294,neutral,99.49869
296,neutral,99.816124
298,neutral,99.264206
300,neutral,99.35743
302,neutral,99.25888
304,neutral,99.98051
306,neutral,99.98289
308,neutral,99.93068
310,neutral,99.98289
312,neutral,99.93068
314,neutral,99.98289
316,neutral,99.93068
318,neutral,99.98289
320,neutral,99.93068
322,neutral,99.98289
324,neutral,99.93068
326,neutral,99.98289
328,neutral,99.85482
330,neutral,99.85482
332,neutral,99.85512
334,neutral,99.92832
336,neutral,99.93609
338,neutral,99.94912
340,neutral,99.94912
342,neutral,99.94918
344,neutral,99.94912
346,neutral,99.94912
348,neutral,99.94911
350,neutral,99.94918
352,neutral,99.94911
354,neutral,99.94912
356,neutral,99.94911
358,neutral,99.94918
360,neutral,99.94911
362,neutral,99.94912
364,neutral,99.94911
366,neutral,99.94918
368,neutral,99.94846
370,neutral,99.94846
372,neutral,99.94846
374,neutral,99.948524
376,neutral,99.90832
378,neutral,98.26977
380,neutral,98.28042
382,neutral,98.59169
384,neutral,98.59713
386,neutral,98.59169
388,neutral,98.59605
390,neutral,98.59211
392,neutral,98.59674
394,neutral,98.591866
396,neutral,92.10362
398,neutral,98.591866
400,neutral,92.101524
402,neutral,98.591866
404,neutral,92.101524
406,neutral,98.591866
408,neutral,92.101524
410,neutral,98.591866
412,neutral,92.101524
414,neutral,98.591866
416,neutral,92.101524
418,neutral,98.591866
420,neutral,92.101524
422,neutral,98.591866
424,neutral,92.101524
426,neutral,98.591866
428,neutral,99.8337
